x,y,u,v,p
0,0,0,0,-0.0200039
0.01,0,0,0,-0.0200039
0.02,0,0,0,-0.0200136
0.03,0,0,0,-0.0200602
0.04,0,0,0,-0.0201366
0.05,0,0,0,-0.0202381
0.06,0,0,0,-0.0203593
0.07,0,0,0,-0.0204949
0.08,0,0,0,-0.02064
0.09,0,0,0,-0.0207903
0.1,0,0,0,-0.0209421
0.11,0,0,0,-0.0210924
0.12,0,0,0,-0.0212384
0.13,0,0,0,-0.021378
0.14,0,0,0,-0.0215093
0.15,0,0,0,-0.0216309
0.16,0,0,0,-0.0217416
0.17,0,0,0,-0.0218404
0.18,0,0,0,-0.0219265
0.19,0,0,0,-0.0219993
0.2,0,0,0,-0.0220583
0.21,0,0,0,-0.0221032
0.22,0,0,0,-0.0221336
0.23,0,0,0,-0.0221493
0.24,0,0,0,-0.0221502
0.25,0,0,0,-0.0221362
0.26,0,0,0,-0.0221071
0.27,0,0,0,-0.022063
0.28,0,0,0,-0.0220036
0.29,0,0,0,-0.0219291
0.3,0,0,0,-0.0218395
0.31,0,0,0,-0.0217346
0.32,0,0,0,-0.0216147
0.33,0,0,0,-0.0214797
0.34,0,0,0,-0.0213298
0.35,0,0,0,-0.021165
0.36,0,0,0,-0.0209856
0.37,0,0,0,-0.0207916
0.38,0,0,0,-0.0205835
0.39,0,0,0,-0.0203614
0.4,0,0,0,-0.0201258
0.41,0,0,0,-0.0198771
0.42,0,0,0,-0.0196158
0.43,0,0,0,-0.0193424
0.44,0,0,0,-0.0190577
0.45,0,0,0,-0.0187624
0.46,0,0,0,-0.0184573
0.47,0,0,0,-0.0181434
0.48,0,0,0,-0.0178216
0.49,0,0,0,-0.017493
0.5,0,0,0,-0.017159
0.51,0,0,0,-0.0168206
0.52,0,0,0,-0.0164794
0.53,0,0,0,-0.0161367
0.54,0,0,0,-0.0157941
0.55,0,0,0,-0.015453
0.56,0,0,0,-0.0151152
0.57,0,0,0,-0.0147822
0.58,0,0,0,-0.0144558
0.59,0,0,0,-0.0141377
0.6,0,0,0,-0.0138296
0.61,0,0,0,-0.0135331
0.62,0,0,0,-0.01325
0.63,0,0,0,-0.0129818
0.64,0,0,0,-0.0127301
0.65,0,0,0,-0.0124963
0.66,0,0,0,-0.0122818
0.67,0,0,0,-0.0120879
0.68,0,0,0,-0.0119157
0.69,0,0,0,-0.0117661
0.7,0,0,0,-0.01164
0.71,0,0,0,-0.0115379
0.72,0,0,0,-0.0114604
0.73,0,0,0,-0.0114076
0.74,0,0,0,-0.0113795
0.75,0,0,0,-0.011376
0.76,0,0,0,-0.0113966
0.77,0,0,0,-0.0114408
0.78,0,0,0,-0.0115075
0.79,0,0,0,-0.0115958
0.8,0,0,0,-0.0117042
0.81,0,0,0,-0.0118313
0.82,0,0,0,-0.0119751
0.83,0,0,0,-0.0121338
0.84,0,0,0,-0.0123051
0.85,0,0,0,-0.0124866
