y,u
0,0
0.01,-0.00698911
0.02,-0.0136589
0.03,-0.0200446
0.04,-0.026174
0.05,-0.0320729
0.06,-0.0377655
0.07,-0.0432738
0.08,-0.0486181
0.09,-0.0538171
0.1,-0.058888
0.11,-0.0638463
0.12,-0.0687063
0.13,-0.0734808
0.14,-0.0781811
0.15,-0.0828172
0.16,-0.087398
0.17,-0.0919306
0.18,-0.096421
0.19,-0.100874
0.2,-0.105292
0.21,-0.109678
0.22,-0.114031
0.23,-0.11835
0.24,-0.122633
0.25,-0.126875
0.26,-0.13107
0.27,-0.13521
0.28,-0.139287
0.29,-0.14329
0.3,-0.147206
0.31,-0.151021
0.32,-0.154721
0.33,-0.158288
0.34,-0.161704
0.35,-0.164949
0.36,-0.168004
0.37,-0.170846
0.38,-0.173453
0.39,-0.175801
0.4,-0.177868
0.41,-0.17963
0.42,-0.181062
0.43,-0.182141
0.44,-0.182844
0.45,-0.183149
0.46,-0.183034
0.47,-0.182479
0.48,-0.181466
0.49,-0.179977
0.5,-0.177999
0.51,-0.175517
0.52,-0.172522
0.53,-0.169006
0.54,-0.164963
0.55,-0.16039
0.56,-0.155285
0.57,-0.149652
0.58,-0.143492
0.59,-0.136814
0.6,-0.129623
0.61,-0.121929
0.62,-0.113741
0.63,-0.105071
0.64,-0.0959272
0.65,-0.08632
0.66,-0.076257
0.67,-0.0657435
0.68,-0.0547818
0.69,-0.0433696
0.7,-0.0314991
0.71,-0.0191557
0.72,-0.00631687
0.73,0.00704991
0.74,0.0209883
0.75,0.035555
0.76,0.0508213
0.77,0.0668753
0.78,0.0838229
0.79,0.10179
0.8,0.120923
0.81,0.141391
0.82,0.163382
0.83,0.187107
0.84,0.212795
0.85,0.240686
0.86,0.271034
0.87,0.304087
0.88,0.340087
0.89,0.37925
0.9,0.421752
0.91,0.467709
0.92,0.517159
0.93,0.570035
0.94,0.626147
0.95,0.685162
0.96,0.746584
0.97,0.80974
0.98,0.873812
0.99,0.937845
1,1
