x,v
0,0
0.01,0.0154983
0.02,0.029997
0.03,0.0435184
0.04,0.0560864
0.05,0.0677287
0.06,0.0784757
0.07,0.0883599
0.08,0.0974158
0.09,0.105679
0.1,0.113185
0.11,0.119971
0.12,0.126072
0.13,0.131525
0.14,0.136364
0.15,0.140622
0.16,0.144332
0.17,0.147524
0.18,0.150226
0.19,0.152466
0.2,0.154267
0.21,0.155652
0.22,0.156642
0.23,0.157254
0.24,0.157506
0.25,0.15741
0.26,0.156979
0.27,0.156224
0.28,0.155153
0.29,0.153772
0.3,0.152088
0.31,0.150103
0.32,0.147821
0.33,0.145242
0.34,0.142368
0.35,0.139198
0.36,0.13573
0.37,0.131962
0.38,0.127893
0.39,0.123519
0.4,0.118836
0.41,0.113843
0.42,0.108535
0.43,0.102908
0.44,0.0969612
0.45,0.0906901
0.46,0.0840929
0.47,0.077168
0.48,0.0699144
0.49,0.0623321
0.5,0.0544221
0.51,0.0461868
0.52,0.0376298
0.53,0.0287566
0.54,0.0195743
0.55,0.0100922
0.56,0.000321981
0.57,-0.00972224
0.58,-0.0200234
0.59,-0.0305613
0.6,-0.0413123
0.61,-0.0522489
0.62,-0.0633397
0.63,-0.0745489
0.64,-0.0858357
0.65,-0.0971548
0.66,-0.108455
0.67,-0.119681
0.68,-0.130769
0.69,-0.141653
0.7,-0.15226
0.71,-0.162509
0.72,-0.172318
0.73,-0.181596
0.74,-0.190251
0.75,-0.198186
0.76,-0.205302
0.77,-0.211498
0.78,-0.216675
0.79,-0.220735
0.8,-0.223586
0.81,-0.22514
0.82,-0.22532
0.83,-0.224057
0.84,-0.221298
0.85,-0.217005
0.86,-0.211156
0.87,-0.203749
0.88,-0.194802
0.89,-0.184355
0.9,-0.172467
0.91,-0.159219
0.92,-0.144712
0.93,-0.129064
0.94,-0.112408
0.95,-0.0948909
0.96,-0.0766682
0.97,-0.0579024
0.98,-0.0387578
0.99,-0.0193962
1,0
